Generation gvNormUnres1 sd var SDSt zMean AdditGenicVar1 SDGenic SDGenicSt zMeanGenic SDGenicStNeg Genic_Genetic_VAR Genic_Genetic_SD Genic_Genetic_SDSt zMeanGenic_Genetic scenario Rep Strategy Repeats
40 3.7125798641741 1.37689098594699 1.89582878718208 1 0 2.3593730807 1.53602509116876 1 0 0 1.89582878718208 1.37689098594699 1 0 Class 0 SU55 2
41 3.9413192556615 1.34036082317643 1.79656713630619 0.973469095851884 0.166127452225338 2.3570451954 1.53526714137964 0.999506551166721 0.14891644205718 0.000493448833279175 1.89395825979449 1.37621156069643 0.999506551166721 0.166127452225338 Class 0 SU55 2
42 3.98568557169178 1.30554784149762 1.70445516643909 0.948185335529445 0.198349550040703 2.3456010736 1.53153552802408 0.997077155073512 0.177800290560279 0.00292284492648753 1.88476255618579 1.37286654711439 0.997077155073513 0.198349550040703 Class 0 SU55 2
43 4.08875827968218 1.31581505531718 1.73136925979936 0.955642145054931 0.273208568686614 2.3364548195 1.52854663635101 0.995131293843608 0.244903821995411 0.00486870615639245 1.87741325990048 1.37018730832703 0.995131293843608 0.273208568686614 Class 0 SU55 2
44 4.45467910574903 1.33394755221134 1.77941607205063 0.968811304472215 0.538967317782629 2.3202906274 1.52325002130313 0.99168303308385 0.483129634952947 0.00831696691614969 1.86442483473135 1.36543942916973 0.99168303308385 0.538967317782629 Class 0 SU55 2
45 4.7125229672306 1.34535860379329 1.80998977280063 0.977098853521786 0.72623258722895 2.2973681786 1.51570715463113 0.98677239281152 0.650993990140909 0.01322760718848 1.84600594258444 1.35867801284353 0.98677239281152 0.72623258722895 Class 0 SU55 2
46 4.86938620270703 1.37447138631893 1.88917159180949 0.998242707917508 0.840158262592811 2.2901383806 1.51332031658866 0.98521848717795 0.753116824187237 0.0147815128220501 1.84019657767897 1.35653845418365 0.98521848717795 0.840158262592811 Class 0 SU55 2
47 5.26041206924764 1.32717093014817 1.76138267783035 0.963889620669839 1.12415014759428 2.2755556479 1.50849449713945 0.982076728962569 1.00768679754821 0.0179232710374305 1.82847890374491 1.35221259561687 0.982076728962569 1.12415014759428 Class 0 SU55 2
48 5.40032557999376 1.33154774694778 1.77301940240171 0.967068388520222 1.22576568010493 2.2761049848 1.50867656732648 0.982195262304293 1.09877483481436 0.0178047376957072 1.82892031282828 1.35237580310662 0.982195262304293 1.22576568010493 Class 0 SU55 2
49 5.47149246151903 1.30991686672493 1.71588219773045 0.951358444564147 1.27745232941241 2.2758502172 1.50859213082927 0.982140291524394 1.14510668312493 0.0178597084756059 1.82871559923124 1.35230011433529 0.982140291524394 1.27745232941241 Class 0 SU55 2
50 5.67632894670516 1.29117323813317 1.66712833087131 0.93774543613933 1.42621972441808 2.2578053412 1.50259952788493 0.978238921046269 1.27846159142938 0.0217610789537314 1.81421598674444 1.34692835249112 0.978238921046269 1.42621972441808 Class 0 SU55 2
51 5.71341234758617 1.30094740128245 1.69246414090356 0.944844155826679 1.45315243097183 2.2595775424 1.50318912396278 0.978622766389192 1.30260403616821 0.0213772336108081 1.81564000487838 1.34745686568379 0.978622766389192 1.45315243097183 Class 0 SU55 2
52 5.94772936231062 1.3108818213066 1.71841114943211 0.952059265901147 1.62333076543401 2.2453263765 1.49844131566772 0.975531795855987 1.45515168403649 0.0244682041440131 1.80418875505904 1.34320093621879 0.975531795855987 1.62333076543401 Class 0 SU55 2
53 6.33893421606935 1.32621911921555 1.75885715217288 0.963198345222234 1.90745264418222 2.2218130528 1.49057473908557 0.970410410386843 1.70983818363075 0.0295895896131572 1.78529507676905 1.33614934673077 0.970410410386843 1.90745264418222 Class 0 SU55 2
54 6.46494709554951 1.29878434033948 1.68684076271106 0.943273181098072 1.99897251087195 2.2321071552 1.49402381346483 0.97265586483879 1.79187647858092 0.0273441351612101 1.79356670444327 1.33924109272501 0.97265586483879 1.99897251087195 Class 0 SU55 2
55 6.6040806339449 1.34518883055649 1.80953298985395 0.976975551649286 2.10002156981374 2.237078952 1.4956867827189 0.973738509428142 1.88245672964278 0.0262614905718579 1.79756169598342 1.34073177630107 0.973738509428142 2.10002156981374 Class 0 SU55 2
56 6.73871718796106 1.29504243313237 1.67713490361342 0.940555531519929 2.19780458632726 2.2203134863 1.49007163797584 0.97008287595227 1.97010930432418 0.0299171240477303 1.78409012899617 1.33569836752022 0.97008287595227 2.19780458632726 Class 0 SU55 2
57 6.97387701236703 1.28289720325033 1.64582523410751 0.931734767925712 2.36859503147222 2.2245577921 1.49149515322712 0.97100962855512 2.12320564744903 0.0289903714448797 1.78750055915792 1.33697440482528 0.97100962855512 2.36859503147222 Class 0 SU55 2
58 7.22223905384384 1.2912280432995 1.66726985980305 0.937785239701763 2.54897390242982 2.2164481735 1.48877405051942 0.969238106251645 2.2848970435758 0.0307618937483553 1.78098423135851 1.33453521173422 0.969238106251645 2.54897390242982 Class 0 SU55 2
59 7.2819494768925 1.26331361031565 1.59596127800875 0.917511715313299 2.59234002484479 2.195756242 1.48180843633717 0.964703275263335 2.32377038190338 0.0352967247366646 1.76435762841852 1.32829124382363 0.964703275263335 2.59234002484479 Class 0 SU55 2
60 7.63117216735344 1.28264050704995 1.64516667032535 0.931548336172583 2.84597135370468 2.1883154841 1.47929560402916 0.963067343453072 2.55112519040798 0.0369326565469282 1.75837875074942 1.32603874406045 0.963067343453072 2.84597135370468 Class 0 SU55 2
40 3.7125798641741 1.37689098594699 1.89582878718208 1 0 2.3593730807 1.53602509116876 1 0 0 1.89582878718208 1.37689098594699 1 0 Class 0 SU55 5
