Group,Generation,cat,gvNormUnres1,gvNormUnres3,scenario,rep,strategy
home,11,pb,2.3767416048250003,1.4823006282250002,10_10,0,ClassGen
home,12,pb,2.1623543635,0.4671156687,10_10,0,ClassGen
home,13,pb,1.2340185337249998,1.00839646445,10_10,0,ClassGen
home,14,pb,2.1491856514250003,0.80271797565,10_10,0,ClassGen
home,15,pb,1.9842720959,1.409518251075,10_10,0,ClassGen
home,16,pb,2.723797254425,1.9099328021249997,10_10,0,ClassGen
home,17,pb,1.3222686153,1.461735964225,10_10,0,ClassGen
home,18,pb,3.140790027575,2.1426651662000005,10_10,0,ClassGen
home,19,pb,2.9615653398,1.3206908207999999,10_10,0,ClassGen
home,20,pb,2.8480498246000003,1.7809477155,10_10,0,ClassGen
home,21,pb,2.8253632564749998,2.06757322745,10_10,0,ClassGen
home,22,pb,3.4110973173500003,1.5322521826000002,10_10,0,ClassGen
home,23,pb,2.519762151325,2.251195692025,10_10,0,ClassGen
home,24,pb,3.35246977305,2.3086699375,10_10,0,ClassGen
home,25,pb,3.218574377025,2.7960001358500004,10_10,0,ClassGen
home,26,pb,4.5307572001,3.98535702425,10_10,0,ClassGen
home,27,pb,4.339072396975,2.7503109138,10_10,0,ClassGen
home,28,pb,4.362703022224999,3.102227184525,10_10,0,ClassGen
home,29,pb,3.59155097655,3.0984418939,10_10,0,ClassGen
home,30,pb,3.87779237875,2.5412288629249997,10_10,0,ClassGen
home,31,pb,4.42748122915,3.640296840875,10_10,0,ClassGen
home,32,pb,3.963292629075,3.018957650425,10_10,0,ClassGen
home,33,pb,5.80889662255,4.2165962971,10_10,0,ClassGen
home,34,pb,4.146571059149999,3.5655712413,10_10,0,ClassGen
home,35,gpb,4.383417472600001,3.167294564925,10_10,0,ClassGen
home,36,gpb,4.50675586015,2.332314171083333,10_10,0,ClassGen
home,37,gpb,4.701121891250001,3.3372280384875004,10_10,0,ClassGen
home,38,gpb,4.9886650855,4.241773106116667,10_10,0,ClassGen
home,39,gpb,5.552973570166667,4.677315411716667,10_10,0,ClassGen
home,40,gpb,6.0843751956,4.580487052383334,10_10,0,ClassGen
home,41,gpb,6.8761256863,5.7778733052,10_10,0,ClassGen
home,42,gpb,6.58505248455,6.413663292216666,10_10,0,ClassGen
home,43,gpb,7.998618717149999,7.074354592333333,10_10,0,ClassGen
home,44,gpb,7.873807223933333,6.698702176033334,10_10,0,ClassGen
home,45,gpb,8.976276225216667,7.2628639109833335,10_10,0,ClassGen
home,46,gpb,9.049855303183334,7.785110876416668,10_10,0,ClassGen
home,47,gpb,8.612028889716667,7.808479034433333,10_10,0,ClassGen
home,48,gpb,9.994775535450001,9.595986125883334,10_10,0,ClassGen
import,11,pb,3.15993474075,3.8952635437299996,10_10,0,ClassGen
import,12,pb,3.0462130648700003,3.57952131506,10_10,0,ClassGen
import,13,pb,3.1667755826099997,4.11188220837,10_10,0,ClassGen
import,14,pb,2.68809403691,3.56131520769,10_10,0,ClassGen
import,15,pb,2.3241574513499996,3.4330859472700004,10_10,0,ClassGen
import,16,pb,2.8675279730300005,4.1127142055,10_10,0,ClassGen
import,17,pb,4.0580629442000005,4.69159580563,10_10,0,ClassGen
import,18,pb,3.46649435334,4.89906163828,10_10,0,ClassGen
import,19,pb,4.259381964090001,4.601456421879999,10_10,0,ClassGen
import,20,pb,2.82715768796,3.25311850784,10_10,0,ClassGen
