Generation gvNormUnres1 sd var SDSt zMean AdditGenicVar1 SDGenic SDGenicSt zMeanGenic SDGenicStNeg Genic_Genetic_VAR Genic_Genetic_SD Genic_Genetic_SDSt zMeanGenic_Genetic scenario Rep Strategy
40 5.04355555859977 1.47222110930139 2.16743499467262 1 0 2.362191217 1.53694216449416 1 0 0 2.16743499467262 1.47222110930139 1 0 Gen1_11 1 SU55
41 5.60239257082315 1.48978128581945 2.21944827957784 1.01192767608555 0.37958769147697 2.3309855214 1.52675653638686 0.993372796750192 0.363603149899465 0.00662720324980792 2.13880212355288 1.46246440078139 0.993372796750192 0.37958769147697 Gen1_11 1 SU55
42 5.76925441841066 1.49326017548474 2.22982595168872 1.01429069726716 0.492927900045703 2.3325430861 1.52726654062086 0.993704627215762 0.472170571265271 0.00629537278423842 2.14023127129205 1.46295292859751 0.993704627215762 0.492927900045703 Gen1_11 1 SU55
43 6.06745372120249 1.45013910586289 2.10290342635282 0.985000891986271 0.695478522983947 2.3381068921 1.52908694720085 0.99488906123159 0.666191732035476 0.00511093876840996 2.14533635666413 1.46469667735819 0.99488906123159 0.695478522983947 Gen1_11 1 SU55
44 6.61512209893234 1.51473230639659 2.29441396004153 1.02887555193076 1.06747996642863 2.3222403085 1.52388986101358 0.991507615717684 1.02252809288358 0.00849238428231558 2.13077792960156 1.45971844189267 0.991507615717684 1.06747996642863 Gen1_11 1 SU55
45 6.99274230324231 1.50918103910995 2.27762740880899 1.02510487696111 1.32397690287669 2.316751978 1.52208803227671 0.990335269237449 1.26822387313713 0.00966473076255059 2.12574209698038 1.45799248865705 0.990335269237449 1.32397690287669 Gen1_11 1 SU55
46 7.4544418903961 1.48100336179558 2.1933709576498 1.00596530809041 1.63758440669307 2.3030247612 1.51757199539264 0.987396943392534 1.56862527913651 0.0126030566074663 2.11314665176085 1.45366662332216 0.987396943392534 1.63758440669307 Gen1_11 1 SU55
47 7.86125966288154 1.38815257651427 1.92696757568321 0.942896802487085 1.91391366859211 2.2773287187 1.50908207818528 0.981873041840808 1.83331824018839 0.0181269581591916 2.08956917787208 1.44553421885201 0.981873041840808 1.91391366859211 Gen1_11 1 SU55
48 8.33526045385859 1.42933846161099 2.04300843784046 0.970872141813838 2.23587671339723 2.2575272738 1.50250699625659 0.977595013636115 2.14172333305865 0.0224049863638854 2.0714003080903 1.43923601542287 0.977595013636114 2.23587671339723 Gen1_11 1 SU55
49 8.67448875818322 1.41190379130868 1.99347231591181 0.959029715297766 2.4662961131609 2.2405845115 1.49685821355932 0.973919675144032 2.36243970883476 0.0260803248559677 2.05585443032598 1.433825104511 0.973919675144032 2.4662961131609 Gen1_11 1 SU55
50 9.03275695921471 1.36924136188381 1.87482190709343 0.930051439442784 2.70964828272835 2.2281064633 1.49268431468278 0.971203958851667 2.59554425193863 0.0287960411483333 2.04440516316282 1.4298269696585 0.971203958851667 2.70964828272835 Gen1_11 1 SU55
51 9.50728351564748 1.42059116409646 2.01807925550894 0.964930576746431 3.03196845150921 2.2058406046 1.48520725981258 0.96633906865415 2.90429143019627 0.0336609313458497 2.0239750637765 1.42266477561529 0.96633906865415 3.03196845150921 Gen1_11 1 SU55
52 9.98732122442428 1.33092911186862 1.77137230081939 0.904028004665806 3.35803204735358 2.1976093272 1.48243358272808 0.964534396267262 3.21662439877925 0.0354656037327377 2.01642243274509 1.42000789883194 0.964534396267262 3.35803204735358 Gen1_11 1 SU55
53 10.2975267580947 1.35273071342346 1.82988038303913 0.918836650878727 3.56873785214784 2.1941053818 1.48125128921463 0.963765145777062 3.41845732446552 0.0362348542229384 2.01320737808537 1.41887539202192 0.963765145777062 3.56873785214784 Gen1_11 1 SU55
54 10.7565233403405 1.33866587192123 1.79202631664661 0.909283166410009 3.88050935124258 2.1728335296 1.47405343512371 0.959081915492147 3.7171000404046 0.0409180845078534 1.99368933207454 1.41198064153675 0.959081915492146 3.88050935124258 Gen1_11 1 SU55
55 11.1460101428101 1.29704811763723 1.68233381946628 0.881014481753162 4.14506662460922 2.1536090848 1.46751800152502 0.954829684178788 3.97051673458305 0.0451703158212119 1.97604989030843 1.40572041683559 0.954829684178788 4.14506662460922 Gen1_11 1 SU55
56 11.4790336167074 1.32775342458468 1.76292915649634 0.901870932427216 4.37127141938717 2.1498235049 1.46622764429675 0.953990122835439 4.18719598354288 0.0460098771645612 1.972576421145 1.40448439690336 0.953990122835439 4.37127141938717 Gen1_11 1 SU55
57 11.8543126144884 1.30997475795547 1.71603386648049 0.889794847852091 4.6261781011417 2.1296670819 1.45933789161386 0.949507356442499 4.43136847516328 0.0504926435575006 1.95408184023926 1.39788477359161 0.949507356442499 4.6261781011417 Gen1_11 1 SU55
58 12.2675709560265 1.29068757017494 1.66587440380408 0.876694106626009 4.90688209249679 2.0980162921 1.44845306865635 0.94242522725835 4.70025194461649 0.05757477274165 1.9250405717222 1.3874583135079 0.94242522725835 4.90688209249679 Gen1_11 1 SU55
59 12.6578357441411 1.29521953679945 1.67759364850699 0.879772425905554 5.17196780934253 2.0842439435 1.44369108312686 0.939326876754666 4.95417482937451 0.0606731232453337 1.91240371569647 1.38289685649237 0.939326876754666 5.17196780934253 Gen1_11 1 SU55
60 13.0757175920293 1.2482420179671 1.55810813541857 0.847863143709046 5.45581229795095 2.0625802316 1.43616859442059 0.934432425369277 5.22606654888219 0.0655675746307234 1.892526117749 1.37569114184435 0.934432425369277 5.45581229795095 Gen1_11 1 SU55
