AgeCat Cor Gen Rep Ref varE
k3 0.656681360509 40 0 1K 0.2
k5 0.630727788909 40 0 1K 0.2
pBM4 0.716603135255 40 0 1K 0.2
pBM5 0.764495767251 40 0 1K 0.2
k3 0.788761373901 21 0 1K 0.2
k5 0.701074234749 21 0 1K 0.2
pBM4 0.803900984071 21 0 1K 0.2
pBM5 0.557976166781 21 0 1K 0.2
pBM6 0.75582098496 21 0 1K 0.2
potomciNP0 0.303640564982 21 0 1K 0.2
telF1 0.274982499756 21 0 1K 0.2
k3 0.748651435664 22 0 1K 0.2
k5 0.754185417309 22 0 1K 0.2
pBM4 0.486272176119 22 0 1K 0.2
pBM5 0.791761619051 22 0 1K 0.2
pBM6 0.674182831776 22 0 1K 0.2
potomciNP0 0.18239605565 22 0 1K 0.2
telF1 0.262379100257 22 0 1K 0.2
k3 0.743655758994 23 0 1K 0.2
k5 0.806173359848 23 0 1K 0.2
pBM4 0.500491874439 23 0 1K 0.2
pBM5 0.574379739362 23 0 1K 0.2
pBM6 0.792075872576 23 0 1K 0.2
potomciNP0 0.186324005818 23 0 1K 0.2
telF1 0.290952519469 23 0 1K 0.2
k3 0.766630770145 24 0 1K 0.2
k5 0.779510939446 24 0 1K 0.2
pBM4 0.453356522103 24 0 1K 0.2
pBM5 0.499433593941 24 0 1K 0.2
pBM6 0.666368199325 24 0 1K 0.2
potomciNP0 0.513863804228 24 0 1K 0.2
telF1 0.50142459594 24 0 1K 0.2
k3 0.754938396859 25 0 1K 0.2
k5 0.757009812062 25 0 1K 0.2
pBM4 0.163466686038 25 0 1K 0.2
pBM5 0.455797583037 25 0 1K 0.2
pBM6 0.481079325391 25 0 1K 0.2
potomciNP0 0.464646251365 25 0 1K 0.2
telF1 0.509142060198 25 0 1K 0.2
k3 0.739551466189 26 0 1K 0.2
k5 0.783810888556 26 0 1K 0.2
pBM4 0.1397372532 26 0 1K 0.2
pBM5 0.165950779503 26 0 1K 0.2
pBM6 0.506055143003 26 0 1K 0.2
potomciNP0 0.397979557149 26 0 1K 0.2
telF1 0.515921749437 26 0 1K 0.2
k3 0.744273782603 27 0 1K 0.2
k5 0.779800109601 27 0 1K 0.2
pBM4 0.46194470739 27 0 1K 0.2
pBM5 0.172989007679 27 0 1K 0.2
pBM6 0.214424366234 27 0 1K 0.2
potomciNP0 0.398876523791 27 0 1K 0.2
telF1 0.523280509265 27 0 1K 0.2
k3 0.739364238574 28 0 1K 0.2
k5 0.748435983522 28 0 1K 0.2
pBM4 0.468843144443 28 0 1K 0.2
pBM5 0.370325977256 28 0 1K 0.2
pBM6 0.23165101358 28 0 1K 0.2
potomciNP0 0.496226089618 28 0 1K 0.2
telF1 0.511737060049 28 0 1K 0.2
k3 0.717543410387 29 0 1K 0.2
k5 0.739953656029 29 0 1K 0.2
pBM4 0.363651728853 29 0 1K 0.2
pBM5 0.487935505859 29 0 1K 0.2
pBM6 0.357922742812 29 0 1K 0.2
potomciNP0 0.536291444932 29 0 1K 0.2
telF1 0.474491446714 29 0 1K 0.2
k3 0.712541166342 30 0 1K 0.2
k5 0.753184926848 30 0 1K 0.2
pBM4 0.487584567128 30 0 1K 0.2
pBM5 0.420674080609 30 0 1K 0.2
pBM6 0.407828531038 30 0 1K 0.2
potomciNP0 0.428083468922 30 0 1K 0.2
telF1 0.491269951367 30 0 1K 0.2
k3 0.701219046625 31 0 1K 0.2
k5 0.724134470971 31 0 1K 0.2
pBM4 0.0272979404953 31 0 1K 0.2
pBM5 0.547846099331 31 0 1K 0.2
pBM6 0.404953169887 31 0 1K 0.2
potomciNP0 0.329049909774 31 0 1K 0.2
telF1 0.465201310522 31 0 1K 0.2
k3 0.703567284605 32 0 1K 0.2
k5 0.720328650107 32 0 1K 0.2
pBM4 0.691054158408 32 0 1K 0.2
pBM5 0.0565650944714 32 0 1K 0.2
pBM6 0.503543837712 32 0 1K 0.2
potomciNP0 0.26818865119 32 0 1K 0.2
telF1 0.481953582897 32 0 1K 0.2
k3 0.695380850338 33 0 1K 0.2
k5 0.720521617379 33 0 1K 0.2
pBM4 0.293256779172 33 0 1K 0.2
pBM5 0.614074357166 33 0 1K 0.2
pBM6 0.00195357860937 33 0 1K 0.2
potomciNP0 0.405880977142 33 0 1K 0.2
telF1 0.422402453211 33 0 1K 0.2
k3 0.714384138542 34 0 1K 0.2
k5 0.712367786617 34 0 1K 0.2
pBM4 0.184130113355 34 0 1K 0.2
pBM5 0.281929508994 34 0 1K 0.2
pBM6 0.653419305065 34 0 1K 0.2
potomciNP0 0.344302645 34 0 1K 0.2
telF1 0.451213358289 34 0 1K 0.2
k3 0.683834973449 35 0 1K 0.2
k5 0.699367530733 35 0 1K 0.2
pBM4 0.357051355062 35 0 1K 0.2
pBM5 0.203656894789 35 0 1K 0.2
pBM6 0.179282640797 35 0 1K 0.2
potomciNP0 0.245525225289 35 0 1K 0.2
telF1 0.376939644564 35 0 1K 0.2
k3 0.691919059669 36 0 1K 0.2
k5 0.724456893919 36 0 1K 0.2
pBM4 0.394872569208 36 0 1K 0.2
pBM5 0.348479872224 36 0 1K 0.2
pBM6 0.247138107635 36 0 1K 0.2
potomciNP0 0.221412691721 36 0 1K 0.2
telF1 0.411580921031 36 0 1K 0.2
k3 0.685198962761 37 0 1K 0.2
k5 0.693141432446 37 0 1K 0.2
pBM4 0.358007963707 37 0 1K 0.2
pBM5 0.458199420012 37 0 1K 0.2
pBM6 0.340995878549 37 0 1K 0.2
potomciNP0 0.198360942312 37 0 1K 0.2
telF1 0.44202326987 37 0 1K 0.2
k3 0.675478874902 38 0 1K 0.2
k5 0.711484230316 38 0 1K 0.2
pBM4 0.378900485085 38 0 1K 0.2
pBM5 0.448278337468 38 0 1K 0.2
pBM6 0.539173285435 38 0 1K 0.2
potomciNP0 0.399874773345 38 0 1K 0.2
telF1 0.428573120937 38 0 1K 0.2
k3 0.680084975233 39 0 1K 0.2
k5 0.708536007378 39 0 1K 0.2
pBM4 0.28231925156 39 0 1K 0.2
pBM5 0.38078653164 39 0 1K 0.2
pBM6 0.493664687733 39 0 1K 0.2
potomciNP0 0.341759291484 39 0 1K 0.2
telF1 0.392623708271 39 0 1K 0.2
k3 0.670817563665 40 0 1K 0.2
k5 0.686314052112 40 0 1K 0.2
pBM4 0.141821260966 40 0 1K 0.2
pBM5 0.193351414242 40 0 1K 0.2
pBM6 0.35620290936 40 0 1K 0.2
potomciNP0 0.284140440054 40 0 1K 0.2
telF1 0.38081303425 40 0 1K 0.2
genTest1 0.79034049063 41 0 1K 0.2
gpb2 -0.0944066909384 41 0 1K 0.2
gpb3 0.775547018678 41 0 1K 0.2
gpb4 -0.151821397087 41 0 1K 0.2
gpb5 0.602116760455 41 0 1K 0.2
k3 0.396096385622 41 0 1K 0.2
k5 0.775402390495 41 0 1K 0.2
pBM4 0.500638054468 41 0 1K 0.2
pBM5 0.304473326276 41 0 1K 0.2
pBM6 0.418515021203 41 0 1K 0.2
telF1 0.476732792264 41 0 1K 0.2
gpb2 0.237283391034 42 0 1K 0.2
gpb3 -0.0944066909384 42 0 1K 0.2
gpb4 0.775547018678 42 0 1K 0.2
gpb5 -0.151821397087 42 0 1K 0.2
k3 0.371457169751 42 0 1K 0.2
k5 0.715599077653 42 0 1K 0.2
pBM4 0.229268713402 42 0 1K 0.2
pBM5 0.500638054468 42 0 1K 0.2
pBM6 0.304473326276 42 0 1K 0.2
gpb3 0.237283391034 43 0 1K 0.2
gpb4 -0.0944066909384 43 0 1K 0.2
gpb5 0.775547018678 43 0 1K 0.2
k3 0.416343064416 43 0 1K 0.2
k5 0.375863403686 43 0 1K 0.2
pBM4 0.239595060566 43 0 1K 0.2
pBM5 0.229268713402 43 0 1K 0.2
pBM6 0.500638054468 43 0 1K 0.2
gpb4 0.237283391034 44 0 1K 0.2
gpb5 -0.0944066909384 44 0 1K 0.2
