Rep Ref Pop Cor nInd
NA NA NA NA NA
0 1K potomciNP 0.764073974846088 1027
0 5K potomciNP 0.82472925464069 4350
1 1K potomciNP 0.763385104608154 1028
1 5K potomciNP 0.871967305155592 4329
2 1K potomciNP 0.662442202877371 1021
2 5K potomciNP 0.893728269292892 4322
