Rep Ref Pop Cor nInd
NA NA NA NA NA
1 1K potomciNP 0.736655205469475 1028
1 2K potomciNP 0.777488596378789 1895
1 3K potomciNP 0.797335256157667 2778
1 4K potomciNP 0.806191281138779 3566
1 5K potomciNP 0.797904693066451 4329
1 6K potomciNP 0.793834647882353 5101
1 7K potomciNP 0.806782146702812 5824
1 8K potomciNP 0.836821075982264 6424
1 9K potomciNP 0.798918687632299 7051
