AgeCat Cor Gen Rep NoControl
potomciNP0 0.212820639079 34 0 11
telF1 0.444091867017 34 0 11
vhlevljeni1 0.526781135667 34 0 11
cak5 0.971407570391 35 0 11
k3 0.718833747898 35 0 11
k5 0.725441805645 35 0 11
pBM4 0.310346676233 35 0 11
pBM5 0.45446545604 35 0 11
pBM6 0.515653654404 35 0 11
pb6 0.968504569448 35 0 11
pb7 0.938439675004 35 0 11
pb8 0.941692109483 35 0 11
pb9 0.910045817757 35 0 11
potomciNP0 0.479754854881 35 0 11
telF1 0.452623316492 35 0 11
vhlevljeni1 0.493975342676 35 0 11
cak5 0.934816396781 36 0 11
k3 0.709419155551 36 0 11
k5 0.736912008096 36 0 11
pBM4 0.502905761761 36 0 11
pBM5 0.294119550128 36 0 11
pBM6 0.446348046953 36 0 11
pb6 0.994430961502 36 0 11
pb7 0.961610686509 36 0 11
pb8 0.933153263112 36 0 11
pb9 0.938001005648 36 0 11
potomciNP0 0.285811988808 36 0 11
telF1 0.486974655961 36 0 11
vhlevljeni1 0.511953723277 36 0 11
cak5 0.919518848576 37 0 11
k3 0.678921683744 37 0 11
k5 0.727069832212 37 0 11
pBM4 0.212467162389 37 0 11
pBM5 0.470758931373 37 0 11
pBM6 0.222077676523 37 0 11
pb6 0.964292156304 37 0 11
pb7 0.995238709798 37 0 11
pb8 0.955453684817 37 0 11
pb9 0.940030445683 37 0 11
potomciNP0 0.377826308609 37 0 11
telF1 0.452987222034 37 0 11
vhlevljeni1 -0.0126908412459 37 0 11
cak5 0.986853027813 38 0 11
k3 0.701978076916 38 0 11
k5 0.722651379888 38 0 11
pBM4 0.0415752798947 38 0 11
pBM5 0.172213274139 38 0 11
pBM6 0.46598070611 38 0 11
pb6 0.55533874556 38 0 11
pb7 0.970535498369 38 0 11
pb8 0.997329154323 38 0 11
pb9 0.958749503401 38 0 11
potomciNP0 0.453436258575 38 0 11
telF1 0.500571707496 38 0 11
vhlevljeni1 0.154814734647 38 0 11
cak5 0.94551219074 39 0 11
k3 0.689226295845 39 0 11
k5 0.699090653399 39 0 11
pBM4 0.486948696374 39 0 11
pBM5 0.0953149783603 39 0 11
pBM6 0.158450173317 39 0 11
pb6 0.948016405196 39 0 11
pb7 0.500286533616 39 0 11
pb8 0.984930764621 39 0 11
pb9 0.997554009798 39 0 11
potomciNP0 0.318456511227 39 0 11
telF1 0.453410784529 39 0 11
vhlevljeni1 0.180936367957 39 0 11
cak5 0.908434470559 40 0 11
k3 0.699398925732 40 0 11
k5 0.720626969122 40 0 11
pBM4 0.410744095397 40 0 11
pBM5 0.467820684599 40 0 11
pBM6 0.110145029391 40 0 11
pb6 0.961475472259 40 0 11
pb7 0.960202237836 40 0 11
pb8 0.608084062296 40 0 11
pb9 0.989860211415 40 0 11
potomciNP0 0.33909365574 40 0 11
telF1 0.458615361072 40 0 11
vhlevljeni1 0.387695063817 40 0 11
cak5 0.980802553276 41 0 11
k3 0.68777074579 41 0 11
k5 0.700685278342 41 0 11
pBM4 0.321700693599 41 0 11
pBM5 0.413518871913 41 0 11
pBM6 0.440687934563 41 0 11
pb6 0.944926096894 41 0 11
pb7 0.949805187523 41 0 11
pb8 0.950854649158 41 0 11
pb9 0.711351607785 41 0 11
potomciNP0 0.42875072316 41 0 11
telF1 0.436302141712 41 0 11
vhlevljeni1 0.320497792942 41 0 11
cak5 0.944367062901 42 0 11
k3 0.673287951817 42 0 11
k5 0.71871678662 42 0 11
pBM4 0.310894066119 42 0 11
pBM5 0.346308124648 42 0 11
pBM6 0.427103576118 42 0 11
pb6 0.979559192594 42 0 11
pb7 0.937148454554 42 0 11
pb8 0.952894400836 42 0 11
pb9 0.931067273738 42 0 11
potomciNP0 0.429454156894 42 0 11
telF1 0.413001819449 42 0 11
vhlevljeni1 0.399226358811 42 0 11
cak5 0.921424727764 43 0 11
k3 0.701646118671 43 0 11
k5 0.702125724042 43 0 11
pBM4 0.161972210878 43 0 11
pBM5 0.342031147588 43 0 11
pBM6 0.335422043938 43 0 11
pb6 0.847045585299 43 0 11
