AgeCat Cor Gen Rep Ref sc
k3 0.504050802241 46 0 10K 1
k5 0.633679345721 46 0 10K 1
potomciNP0 0.212703409397 46 0 10K 1
telF1 0.361771574735 46 0 10K 1
vhlevljeni1 0.611935368525 46 0 10K 1
cak5 0.932160072896 47 0 10K 1
k3 0.521964185267 47 0 10K 1
k5 0.593710885976 47 0 10K 1
potomciNP0 0.198390098293 47 0 10K 1
telF1 0.390761861946 47 0 10K 1
vhlevljeni1 0.214820408034 47 0 10K 1
cak5 0.93004911587 48 0 10K 1
k3 0.491499217587 48 0 10K 1
k5 0.590546699215 48 0 10K 1
potomciNP0 0.373322910134 48 0 10K 1
telF1 0.402753670627 48 0 10K 1
vhlevljeni1 0.177741898038 48 0 10K 1
cak5 0.874316733084 49 0 10K 1
k3 0.531736023378 49 0 10K 1
k5 0.569263504129 49 0 10K 1
potomciNP0 0.336119348818 49 0 10K 1
telF1 0.3758294651 49 0 10K 1
vhlevljeni1 0.30293620612 49 0 10K 1
cak5 0.727864825752 50 0 10K 1
k3 0.495167435024 50 0 10K 1
k5 0.580035269762 50 0 10K 1
potomciNP0 0.245018901965 50 0 10K 1
telF1 0.330763700027 50 0 10K 1
vhlevljeni1 0.339139635533 50 0 10K 1
cak5 0.842618861208 51 0 10K 1
k3 0.495831440197 51 0 10K 1
k5 0.594786969648 51 0 10K 1
potomciNP0 0.29594208915 51 0 10K 1
telF1 0.358959337343 51 0 10K 1
vhlevljeni1 0.473444498229 51 0 10K 1
cak5 0.923394806277 52 0 10K 1
k3 0.495660937642 52 0 10K 1
k5 0.564597183554 52 0 10K 1
potomciNP0 0.30307600591 52 0 10K 1
telF1 0.37630140981 52 0 10K 1
vhlevljeni1 0.141314298476 52 0 10K 1
cak5 0.843147360794 53 0 10K 1
k3 0.464780697395 53 0 10K 1
k5 0.586105547803 53 0 10K 1
potomciNP0 0.426251299827 53 0 10K 1
telF1 0.360543969829 53 0 10K 1
vhlevljeni1 0.421735860207 53 0 10K 1
cak5 0.778137276639 54 0 10K 1
k3 0.489349167327 54 0 10K 1
k5 0.556760428341 54 0 10K 1
potomciNP0 0.401551579149 54 0 10K 1
telF1 0.332516270459 54 0 10K 1
vhlevljeni1 0.327569965129 54 0 10K 1
cak5 0.940835841531 55 0 10K 1
k3 0.507120535187 55 0 10K 1
k5 0.572315586105 55 0 10K 1
potomciNP0 0.475558824757 55 0 10K 1
telF1 0.370028472644 55 0 10K 1
vhlevljeni1 0.61594560679 55 0 10K 1
cak5 0.834298302306 56 0 10K 1
k3 0.488817971872 56 0 10K 1
k5 0.567314398558 56 0 10K 1
potomciNP0 0.544175797793 56 0 10K 1
telF1 0.332804544705 56 0 10K 1
vhlevljeni1 0.492323604133 56 0 10K 1
cak5 0.919006640745 57 0 10K 1
k3 0.529366085011 57 0 10K 1
k5 0.581171411752 57 0 10K 1
potomciNP0 0.453420368169 57 0 10K 1
telF1 0.386056947331 57 0 10K 1
vhlevljeni1 0.39414355901 57 0 10K 1
cak5 0.734490917702 58 0 10K 1
k3 0.46345659072 58 0 10K 1
k5 0.56313493587 58 0 10K 1
potomciNP0 0.298307105452 58 0 10K 1
telF1 0.411125797982 58 0 10K 1
vhlevljeni1 0.332441976871 58 0 10K 1
cak5 0.60003675181 59 0 10K 1
k3 0.508436883794 59 0 10K 1
k5 0.596425834316 59 0 10K 1
potomciNP0 0.339263854924 59 0 10K 1
telF1 0.410396024036 59 0 10K 1
vhlevljeni1 0.430568800856 59 0 10K 1
cak5 0.813557889942 60 0 10K 1
k3 0.52607424893 60 0 10K 1
k5 0.557735723575 60 0 10K 1
potomciNP0 0.38051275791 60 0 10K 1
telF1 0.41441752448 60 0 10K 1
vhlevljeni1 0.481537022727 60 0 10K 1
cak5 0.00435976373031 21 0 10K 2
k3 0.793199603744 21 0 10K 2
k5 0.693529913753 21 0 10K 2
potomciNP0 0.268178292175 21 0 10K 2
telF1 0.304836435397 21 0 10K 2
vhlevljeni1 -0.088843438454 21 0 10K 2
cak5 0.395617051129 22 0 10K 2
k3 0.744357716807 22 0 10K 2
k5 0.732495421153 22 0 10K 2
potomciNP0 0.397773960636 22 0 10K 2
telF1 0.269591750954 22 0 10K 2
vhlevljeni1 0.169978236577 22 0 10K 2
cak5 0.799123169308 23 0 10K 2
k3 0.740045952181 23 0 10K 2
k5 0.810216203971 23 0 10K 2
potomciNP0 0.20142472262 23 0 10K 2
telF1 0.326091794788 23 0 10K 2
vhlevljeni1 0.512740648825 23 0 10K 2
cak5 0.97898686122 24 0 10K 2
k3 0.767314102659 24 0 10K 2
k5 0.76815065613 24 0 10K 2
potomciNP0 0.354746171629 24 0 10K 2
telF1 0.518681986781 24 0 10K 2
vhlevljeni1 0.580545895059 24 0 10K 2
cak5 0.861435116673 25 0 10K 2
k3 0.748086964343 25 0 10K 2
k5 0.749866075188 25 0 10K 2
potomciNP0 0.549587009271 25 0 10K 2
telF1 0.543131422888 25 0 10K 2
vhlevljeni1 0.490928984984 25 0 10K 2
cak5 0.993575528933 26 0 10K 2
k3 0.745639403751 26 0 10K 2
k5 0.769948479373 26 0 10K 2
potomciNP0 0.400003163731 26 0 10K 2
telF1 0.565951942826 26 0 10K 2
vhlevljeni1 0.622253773297 26 0 10K 2
cak5 0.979611940318 27 0 10K 2
k3 0.757456367979 27 0 10K 2
k5 0.759991546802 27 0 10K 2
potomciNP0 0.40916818243 27 0 10K 2
telF1 0.473317530947 27 0 10K 2
vhlevljeni1 0.427794119656 27 0 10K 2
cak5 0.984017331915 28 0 10K 2
k3 0.760132859866 28 0 10K 2
k5 0.750674511763 28 0 10K 2
potomciNP0 0.359166603375 28 0 10K 2
telF1 0.530537900176 28 0 10K 2
vhlevljeni1 0.395722113961 28 0 10K 2
cak5 0.974633655137 29 0 10K 2
k3 0.737084122172 29 0 10K 2
k5 0.762579137835 29 0 10K 2
potomciNP0 0.485802881596 29 0 10K 2
telF1 0.499937250991 29 0 10K 2
vhlevljeni1 0.150879665127 29 0 10K 2
cak5 0.967871458237 30 0 10K 2
k3 0.727639216442 30 0 10K 2
k5 0.760641844005 30 0 10K 2
potomciNP0 0.505832987333 30 0 10K 2
telF1 0.508068583238 30 0 10K 2
vhlevljeni1 0.545837135342 30 0 10K 2
cak5 0.943409895275 31 0 10K 2
k3 0.705278526632 31 0 10K 2
k5 0.739605881906 31 0 10K 2
potomciNP0 0.460625272006 31 0 10K 2
telF1 0.534774751314 31 0 10K 2
vhlevljeni1 0.682107209016 31 0 10K 2
cak5 0.913948192208 32 0 10K 2
k3 0.720838383306 32 0 10K 2
k5 0.731551254113 32 0 10K 2
potomciNP0 0.46694744238 32 0 10K 2
telF1 0.506983011595 32 0 10K 2
vhlevljeni1 0.239186199833 32 0 10K 2
cak5 0.929028934507 33 0 10K 2
k3 0.721501249199 33 0 10K 2
k5 0.721000754877 33 0 10K 2
potomciNP0 0.523544082634 33 0 10K 2
telF1 0.496480420567 33 0 10K 2
vhlevljeni1 0.648161885968 33 0 10K 2
cak5 0.892678714664 34 0 10K 2
k3 0.71385555689 34 0 10K 2
k5 0.711453628474 34 0 10K 2
potomciNP0 0.212820639079 34 0 10K 2
telF1 0.444091867017 34 0 10K 2
vhlevljeni1 0.526781135667 34 0 10K 2
cak5 0.971407570391 35 0 10K 2
k3 0.718833747898 35 0 10K 2
k5 0.725441805645 35 0 10K 2
potomciNP0 0.479754854881 35 0 10K 2
telF1 0.452623316492 35 0 10K 2
vhlevljeni1 0.493975342676 35 0 10K 2
cak5 0.934816396781 36 0 10K 2
k3 0.709419155551 36 0 10K 2
k5 0.736912008096 36 0 10K 2
potomciNP0 0.285811988808 36 0 10K 2
telF1 0.486974655961 36 0 10K 2
vhlevljeni1 0.511953723277 36 0 10K 2
cak5 0.919518848576 37 0 10K 2
k3 0.678921683744 37 0 10K 2
k5 0.727069832212 37 0 10K 2
potomciNP0 0.377826308609 37 0 10K 2
telF1 0.452987222034 37 0 10K 2
vhlevljeni1 -0.0126908412459 37 0 10K 2
cak5 0.986853027813 38 0 10K 2
k3 0.701978076916 38 0 10K 2
k5 0.722651379888 38 0 10K 2
potomciNP0 0.453436258575 38 0 10K 2
telF1 0.500571707496 38 0 10K 2
vhlevljeni1 0.154814734647 38 0 10K 2
cak5 0.94551219074 39 0 10K 2
k3 0.689226295845 39 0 10K 2
k5 0.699090653399 39 0 10K 2
potomciNP0 0.318456511227 39 0 10K 2
telF1 0.453410784529 39 0 10K 2
vhlevljeni1 0.180936367957 39 0 10K 2
cak5 0.908434470559 40 0 10K 2
k3 0.699398925732 40 0 10K 2
k5 0.720626969122 40 0 10K 2
potomciNP0 0.33909365574 40 0 10K 2
telF1 0.458615361072 40 0 10K 2
vhlevljeni1 0.387695063817 40 0 10K 2
cak5 0.959996687581 41 0 10K 2
k3 0.607813977464 41 0 10K 2
k5 0.691260981559 41 0 10K 2
potomciNP0 0.485471791657 41 0 10K 2
telF1 0.428584492707 41 0 10K 2
vhlevljeni1 0.462803313736 41 0 10K 2
cak5 0.763421904566 42 0 10K 2
k3 0.572365216193 42 0 10K 2
k5 0.695045740833 42 0 10K 2
potomciNP0 0.36753793514 42 0 10K 2
telF1 0.404288191923 42 0 10K 2
vhlevljeni1 0.638922799016 42 0 10K 2
cak5 0.956370879364 43 0 10K 2
k3 0.615428543794 43 0 10K 2
k5 0.637659909877 43 0 10K 2
potomciNP0 0.224906983 43 0 10K 2
telF1 0.414823201486 43 0 10K 2
vhlevljeni1 0.512745806252 43 0 10K 2
cak5 0.890465068456 44 0 10K 2
k3 0.577607492624 44 0 10K 2
k5 0.626568393172 44 0 10K 2
potomciNP0 0.196758306365 44 0 10K 2
telF1 0.420564414911 44 0 10K 2
vhlevljeni1 0.175719812447 44 0 10K 2
cak5 0.915446985477 45 0 10K 2
k3 0.559666280481 45 0 10K 2
k5 0.674296788455 45 0 10K 2
potomciNP0 0.479162650811 45 0 10K 2
telF1 0.425391745136 45 0 10K 2
vhlevljeni1 0.211454575827 45 0 10K 2
cak5 0.83277095168 46 0 10K 2
k3 0.566144711574 46 0 10K 2
k5 0.640661156508 46 0 10K 2
potomciNP0 0.419152934154 46 0 10K 2
telF1 0.360146260498 46 0 10K 2
vhlevljeni1 0.639173698685 46 0 10K 2
cak5 0.843987103223 47 0 10K 2
k3 0.596509061018 47 0 10K 2
k5 0.603064843101 47 0 10K 2
potomciNP0 0.46987053708 47 0 10K 2
telF1 0.381663321241 47 0 10K 2
vhlevljeni1 0.293742732979 47 0 10K 2
cak5 0.96288048111 48 0 10K 2
k3 0.578492235286 48 0 10K 2
k5 0.619615846147 48 0 10K 2
potomciNP0 0.392796280818 48 0 10K 2
telF1 0.439501024036 48 0 10K 2
vhlevljeni1 0.288070994639 48 0 10K 2
cak5 0.873612690318 49 0 10K 2
k3 0.532149638782 49 0 10K 2
k5 0.649078416179 49 0 10K 2
potomciNP0 0.461266612792 49 0 10K 2
telF1 0.422656638912 49 0 10K 2
vhlevljeni1 0.267777490193 49 0 10K 2
cak5 0.916157246264 50 0 10K 2
k3 0.593058479552 50 0 10K 2
k5 0.63736994015 50 0 10K 2
potomciNP0 0.291376661747 50 0 10K 2
telF1 0.404499557144 50 0 10K 2
vhlevljeni1 0.263088718676 50 0 10K 2
cak5 0.977939924594 51 0 10K 2
k3 0.607869159827 51 0 10K 2
k5 0.608268923279 51 0 10K 2
potomciNP0 0.372450791596 51 0 10K 2
telF1 0.425660507216 51 0 10K 2
vhlevljeni1 0.221988907401 51 0 10K 2
cak5 0.951272592868 52 0 10K 2
k3 0.589761776605 52 0 10K 2
k5 0.656878205731 52 0 10K 2
potomciNP0 0.281341855612 52 0 10K 2
telF1 0.418164541389 52 0 10K 2
vhlevljeni1 0.337067751596 52 0 10K 2
cak5 0.948677371267 53 0 10K 2
k3 0.568505320291 53 0 10K 2
k5 0.660488580499 53 0 10K 2
potomciNP0 0.418371556203 53 0 10K 2
telF1 0.406303260018 53 0 10K 2
vhlevljeni1 0.293959819303 53 0 10K 2
cak5 0.956138935769 54 0 10K 2
k3 0.579037221616 54 0 10K 2
k5 0.659797650252 54 0 10K 2
potomciNP0 0.391868076529 54 0 10K 2
telF1 0.39796029896 54 0 10K 2
vhlevljeni1 0.643677787651 54 0 10K 2
cak5 0.968643216924 55 0 10K 2
k3 0.571102936809 55 0 10K 2
k5 0.636612509203 55 0 10K 2
potomciNP0 0.389220097031 55 0 10K 2
telF1 0.387579245074 55 0 10K 2
vhlevljeni1 0.313804038835 55 0 10K 2
cak5 0.96163531389 56 0 10K 2
k3 0.586575391434 56 0 10K 2
k5 0.638526662817 56 0 10K 2
potomciNP0 0.255912910626 56 0 10K 2
telF1 0.416765584807 56 0 10K 2
vhlevljeni1 0.539218839033 56 0 10K 2
cak5 0.964149802415 57 0 10K 2
k3 0.564367974173 57 0 10K 2
k5 0.636245439411 57 0 10K 2
potomciNP0 0.0619364295981 57 0 10K 2
telF1 0.380030605133 57 0 10K 2
vhlevljeni1 0.0158333632399 57 0 10K 2
cak5 0.930426360897 58 0 10K 2
k3 0.58058127126 58 0 10K 2
