Generation gvNormUnres1 sd var SDSt zMean AdditGenicVar1 SDGenic SDGenicSt zMeanGenic SDGenicStNeg Genic_Genetic_VAR Genic_Genetic_SD Genic_Genetic_SDSt zMeanGenic_Genetic scenario Rep Repeats
40 5.56175956439435 1.34107199821249 1.79847410438964 1 0 2.2375126815 1.4958317691171 1 0 0 1.79847410438964 1.34107199821249 1 0 1_1 0 1
41 6.04811835855493 1.4204903416792 2.0177928108039 1.05922004454091 0.362664193129708 2.2164671961 1.48878043918504 0.995286014057433 0.32514270936206 0.00471398594256656 1.78155810618362 1.33475020366495 0.995286014057433 0.362664193129708 1_1 0 1
42 6.40022823419929 1.41026290857673 1.9888414713073 1.05159373281708 0.625222710579695 2.2172287333 1.4890361759541 0.995456980321379 0.560536744248879 0.00454301967862114 1.78217021665122 1.33497948173416 0.995456980321379 0.625222710579695 1_1 0 1
43 6.92230386481797 1.41979040993929 2.01580480815556 1.05869812495654 1.01451995287135 2.2009134939 1.48354760419071 0.991787736308314 0.909557029415593 0.00821226369168604 1.76905630860036 1.33005876133363 0.991787736308314 1.01451995287135 1_1 0 1
44 7.4260062457628 1.45488344913882 2.11668585057808 1.08486602589423 1.39011677512713 2.1694853706 1.47291729930774 0.984681118370089 1.24629434930962 0.0153188816299106 1.74379492511326 1.32052827501469 0.984681118370089 1.39011677512713 1_1 0 1
45 8.04105991951378 1.47229519235324 2.16765313342646 1.09784947737008 1.84874515195611 2.1573754157 1.46880067255567 0.981929053039579 1.65747272273995 0.0180709469604213 1.73406115221756 1.31683755726269 0.981929053039579 1.84874515195611 1_1 0 1
46 8.65247494931228 1.39064538350398 1.93389458266094 1.03696549130663 2.30466029343505 2.1408514992 1.46316489132292 0.978161395907865 2.06621857399257 0.0218386040921351 1.72077951311265 1.31178485778448 0.978161395907865 2.30466029343505 1_1 0 1
47 9.2003285526616 1.33405341367466 1.77969851053702 0.994766437188171 2.71317945130245 2.1136646709 1.45384478913672 0.971930680409895 2.43247206229272 0.0280693195901051 1.69892720939956 1.30342901970132 0.971930680409895 2.71317945130245 1_1 0 1
48 9.73997115130749 1.36254189473859 1.85652041491783 1.01600950325912 3.11557589188519 2.1147263071 1.45420985662318 0.972174736923463 2.79323629379745 0.0278252630765373 1.69978053426773 1.30375631705765 0.972174736923463 3.11557589188519 1_1 0 1
49 10.2734008892138 1.32467595551176 1.75476638711099 0.987773928079488 3.51333957542891 2.0892060291 1.4454086028179 0.966290884215568 3.1498470764533 0.0337091157844321 1.67926777494381 1.29586564694949 0.966290884215568 3.51333957542891 1_1 0 1
50 10.7633939788519 1.33029314674117 1.76967985626653 0.991962510972054 3.87871376137205 2.0728651713 1.43974482853734 0.962504513049036 3.4774194009315 0.0374954869509637 1.66613327526486 1.29078785060321 0.962504513049036 3.87871376137205 1_1 0 1
51 11.3088415813007 1.31295966605364 1.72386308468369 0.979037417680541 4.28543883144726 2.060320533 1.43538166805906 0.959587633913053 3.84206441898111 0.0404123660869468 1.65605011134895 1.28687610567178 0.959587633913053 4.28543883144726 1_1 0 1
52 11.8347545287871 1.28335214667374 1.64699273237211 0.956959915936145 4.6775974539428 2.0334725395 1.42599878664044 0.953314948967902 4.19365004401217 0.0466850510320976 1.63447015720442 1.27846398353822 0.953314948967902 4.6775974539428 1_1 0 1
53 12.2382469840946 1.25867445019668 1.58426137157793 0.938558445687007 4.97847052850208 2.0070604208 1.4167075989067 0.94710356348622 4.46339458590387 0.05289643651378 1.61324055170687 1.27013406839864 0.94710356348622 4.97847052850208 1_1 0 1
54 12.7758247209321 1.27514304979699 1.62598979744558 0.95083862126465 5.37932725920257 1.9890181926 1.4103255626273 0.942837016665133 4.82277840695664 0.0571629833348674 1.59873851984288 1.26441232192781 0.942837016665133 5.37932725920257 1_1 0 1
55 13.2164594092914 1.24495253340549 1.54990681043275 0.928326394902648 5.70789626142369 1.9665704859 1.40234463877465 0.937501574526905 5.11735343702132 0.0624984254730954 1.58069544033917 1.25725710987815 0.937501574526905 5.70789626142369 1_1 0 1
56 13.735621370507 1.25477803257871 1.57446791104209 0.935652995701344 6.09502086167453 1.927110913 1.388204204359 0.928048349433286 5.46442586316857 0.0719516505667144 1.54897851617704 1.2445796544123 0.928048349433286 6.09502086167453 1_1 0 1
57 14.1944563908032 1.24010120696806 1.53785100352363 0.92470889603316 6.43716134399596 1.9086926895 1.38155444680982 0.923602824417395 5.77116825878368 0.0763971755826051 1.53417426577547 1.23861788529614 0.923602824417395 6.43716134399596 1_1 0 1
58 14.6737344529257 1.21074397528404 1.4659009736866 0.902818026845565 6.79454563265555 1.8727962877 1.36850147522756 0.91487659473585 6.09157732617858 0.0851234052641499 1.50532135709172 1.22691538302025 0.91487659473585 6.79454563265555 1_1 0 1
59 15.091379873287 1.20144561400392 1.44347156340925 0.895884498077148 7.105972178671 1.8544547645 1.36178367022813 0.910385578340744 6.37078347020095 0.089614421659256 1.49057875706849 1.22089260668926 0.910385578340744 7.105972178671 1_1 0 1
60 15.5861998331178 1.17298167246577 1.37588600394059 0.87465973044641 7.4749456271438 1.8223256486 1.34993542386293 0.902464736833152 6.70158267506263 0.0975352631668478 1.4647539278191 1.21027018794115 0.902464736833152 7.4749456271438 1_1 0 1
40 5.56175956439435 1.34107199821249 1.79847410438964 1 0 2.2375126815 1.4958317691171 1 0 0 1.79847410438964 1.34107199821249 1 0 1_2 0 1
