Generation N Sum GN.F GN.M PN1.F Program Trait value Population h2 rep
19 6000 34.4463308956138 13.556300782932 20.8900301126818 0 PN1 I Ebv GN1 0.25 0
20 6000 35.4972704708717 13.940278107385 21.5569923634866 0 PN1 I Ebv GN1 0.25 0
0 525 0.324007649135551 0.288884624920512 0.0351230242150387 0 PN1 I Tbv GN1 0.25 0
1 6000 0.518129287300343 0.151626283814201 0.366503003486142 0 PN1 I Tbv GN1 0.25 0
2 6000 1.0702320268758 0.484185705038026 0.586046321837772 0 PN1 I Tbv GN1 0.25 0
3 6000 1.59370246600776 0.790015579404537 0.80368688660322 0 PN1 I Tbv GN1 0.25 0
4 6000 2.10714291501581 0.996928768356554 1.11021414665925 0 PN1 I Tbv GN1 0.25 0
5 6000 2.69991687696608 1.2370782917772 1.46283858518888 0 PN1 I Tbv GN1 0.25 0
6 6000 3.34868973652256 1.4848695345196 1.86382020200296 0 PN1 I Tbv GN1 0.25 0
7 6000 3.8558333992586 1.68384001529641 2.1719933839622 0 PN1 I Tbv GN1 0.25 0
8 6000 4.35776767232024 1.82354324951099 2.53422442280925 0 PN1 I Tbv GN1 0.25 0
9 6000 4.7040096299491 2.01036479355949 2.69364483638961 0 PN1 I Tbv GN1 0.25 0
10 6000 5.14484498304976 2.20830050377517 2.93654447927459 0 PN1 I Tbv GN1 0.25 0
11 6000 5.54328275678784 2.34618209762204 3.19710065916579 0 PN1 I Tbv GN1 0.25 0
12 6000 5.88988981532827 2.48779912147799 3.40209069385028 0 PN1 I Tbv GN1 0.25 0
13 6000 6.30920410453355 2.62701275274847 3.68219135178508 0 PN1 I Tbv GN1 0.25 0
14 6000 6.70700067422051 2.81376512078291 3.89323555343759 0 PN1 I Tbv GN1 0.25 0
15 6000 7.01200353052327 3.01350270225847 3.9985008282648 0 PN1 I Tbv GN1 0.25 0
16 6000 7.38849769833126 3.14624562820383 4.24225207012743 0 PN1 I Tbv GN1 0.25 0
17 6000 7.74418313063326 3.28361192830037 4.46057120233289 0 PN1 I Tbv GN1 0.25 0
18 6000 7.98980182977297 3.4398158470235 4.54998598274947 0 PN1 I Tbv GN1 0.25 0
19 6000 8.38960754908315 3.62414761959298 4.76545992949017 0 PN1 I Tbv GN1 0.25 0
20 6000 8.77279179746352 3.74093153237098 5.03186026509253 0 PN1 I Tbv GN1 0.25 0
0 5000 -0.000223020595725824 0 0 -0.000223020595725824 PN1 I Ebv PN1 0.25 0
0 5000 -0.0340208031592322 0 0 -0.0340208031592322 PN1 I Tbv PN1 0.25 0
0 525 0.00140344776956163 -0.0697345494939595 0.0711379972635211 0 PN1 T1 Ebv GN1 0.25 1
1 6000 0.710265277390561 -0.0422515999885322 0.752516877379093 0 PN1 T1 Ebv GN1 0.25 1
2 6000 3.1782515773067 0.704394672019738 2.47385690528696 0 PN1 T1 Ebv GN1 0.25 1
3 6000 5.426453053792 1.52606812249098 3.90038493130102 0 PN1 T1 Ebv GN1 0.25 1
4 6000 7.99361876473533 2.6980054747036 5.29561329003173 0 PN1 T1 Ebv GN1 0.25 1
5 6000 10.1968827356865 3.53918145038031 6.65770128530616 0 PN1 T1 Ebv GN1 0.25 1
6 6000 12.0643101649398 4.3200763519595 7.74423381298028 0 PN1 T1 Ebv GN1 0.25 1
7 6000 13.9857817250883 4.9630038387199 9.02277788636841 0 PN1 T1 Ebv GN1 0.25 1
8 6000 16.1311710565633 5.89106740860294 10.2401036479603 0 PN1 T1 Ebv GN1 0.25 1
9 6000 18.2709472020445 6.90815196406506 11.3627952379795 0 PN1 T1 Ebv GN1 0.25 1
10 6000 20.2642463844241 7.66376510971231 12.6004812747118 0 PN1 T1 Ebv GN1 0.25 1
11 6000 22.1306433631591 8.47998579262104 13.6506575705381 0 PN1 T1 Ebv GN1 0.25 1
12 6000 24.0030005361522 9.3274423071584 14.6755582289938 0 PN1 T1 Ebv GN1 0.25 1
13 6000 26.0068030349921 10.1932731396363 15.8135298953558 0 PN1 T1 Ebv GN1 0.25 1
14 6000 27.8227117418283 11.1027722767042 16.719939465124 0 PN1 T1 Ebv GN1 0.25 1
15 6000 29.5884165099766 11.9649367973024 17.6234797126742 0 PN1 T1 Ebv GN1 0.25 1
16 6000 31.1347764423109 12.6745189318825 18.4602575104283 0 PN1 T1 Ebv GN1 0.25 1
17 6000 32.6235689445378 13.3145263300451 19.3090426144927 0 PN1 T1 Ebv GN1 0.25 1
18 6000 34.0301516476984 13.8091971648825 20.2209544828159 0 PN1 T1 Ebv GN1 0.25 1
19 6000 35.1771043694068 14.3466582393027 20.8304461301042 0 PN1 T1 Ebv GN1 0.25 1
20 6000 36.1981782016714 14.9089624169998 21.2892157846715 0 PN1 T1 Ebv GN1 0.25 1
0 525 0.389492747375265 0.348358688908152 0.0411340584671128 0 PN1 T1 Tbv GN1 0.25 1
1 6000 0.617335026474028 0.175111270458553 0.442223756015475 0 PN1 T1 Tbv GN1 0.25 1
2 6000 1.64076952872979 0.447472870793144 1.19329665793665 0 PN1 T1 Tbv GN1 0.25 1
3 6000 2.46980887499312 0.819160957804593 1.65064791718853 0 PN1 T1 Tbv GN1 0.25 1
4 6000 3.48171613241455 1.38979848202585 2.0919176503887 0 PN1 T1 Tbv GN1 0.25 1
5 6000 4.23295719936513 1.79752786154219 2.43542933782294 0 PN1 T1 Tbv GN1 0.25 1
6 6000 4.74435984496696 1.93186598667572 2.81249385829125 0 PN1 T1 Tbv GN1 0.25 1
7 6000 5.31548860430299 2.1181924746391 3.19729612966389 0 PN1 T1 Tbv GN1 0.25 1
8 6000 5.92388229753319 2.50011052811765 3.42377176941553 0 PN1 T1 Tbv GN1 0.25 1
9 6000 6.46633420158089 2.77965950369347 3.68667469788742 0 PN1 T1 Tbv GN1 0.25 1
10 6000 6.91203304169583 3.04628183389361 3.86575120780222 0 PN1 T1 Tbv GN1 0.25 1
11 6000 7.3968535233403 3.25493562935422 4.14191789398608 0 PN1 T1 Tbv GN1 0.25 1
12 6000 7.6506019115197 3.41482550836024 4.23577640315946 0 PN1 T1 Tbv GN1 0.25 1
13 6000 8.16487676269724 3.68458946363213 4.48028729906511 0 PN1 T1 Tbv GN1 0.25 1
14 6000 8.507112291992 3.92092394215091 4.58618834984109 0 PN1 T1 Tbv GN1 0.25 1
15 6000 8.90238561229451 4.15959273633866 4.74279287595586 0 PN1 T1 Tbv GN1 0.25 1
16 6000 9.13170939226347 4.28865564766146 4.843053744602 0 PN1 T1 Tbv GN1 0.25 1
17 6000 9.49979663318149 4.40370916801518 5.09608746516631 0 PN1 T1 Tbv GN1 0.25 1
18 6000 9.91223048645682 4.53552598854287 5.37670449791394 0 PN1 T1 Tbv GN1 0.25 1
19 6000 10.2090333950546 4.62522959750523 5.58380379754933 0 PN1 T1 Tbv GN1 0.25 1
20 6000 10.5666445329471 4.83521924780372 5.73142528514334 0 PN1 T1 Tbv GN1 0.25 1
0 5000 -0.000147362015803942 0 0 -0.000147362015803942 PN1 T1 Ebv PN1 0.25 1
0 5000 -0.0408967384744038 0 0 -0.0408967384744038 PN1 T1 Tbv PN1 0.25 1
0 525 0.00177746791450058 -0.0880960660104788 0.0898735339249794 0 PN1 T2 Ebv GN1 0.25 1
1 6000 0.897573369128032 -0.0282107918751807 0.925784161003213 0 PN1 T2 Ebv GN1 0.25 1
2 6000 3.24383613089807 0.775148276328404 2.46868785456967 0 PN1 T2 Ebv GN1 0.25 1
3 6000 5.10597472979206 1.50430351425605 3.60167121553601 0 PN1 T2 Ebv GN1 0.25 1
4 6000 7.09050084926416 2.43779435933683 4.65270648992733 0 PN1 T2 Ebv GN1 0.25 1
5 6000 9.53029853653325 3.31613025345338 6.21416828307987 0 PN1 T2 Ebv GN1 0.25 1
6 6000 11.9998363094922 4.31522704418179 7.68460926531045 0 PN1 T2 Ebv GN1 0.25 1
7 6000 14.3948797587373 5.29916986726807 9.09570989146927 0 PN1 T2 Ebv GN1 0.25 1
8 6000 16.4815029646115 6.17952844818938 10.3019745164221 0 PN1 T2 Ebv GN1 0.25 1
9 6000 18.520655731509 6.9169345188886 11.6037212126204 0 PN1 T2 Ebv GN1 0.25 1
10 6000 20.6089733296057 8.04908082607583 12.5598925035299 0 PN1 T2 Ebv GN1 0.25 1
11 6000 22.8755820342489 8.99835765203232 13.8772243822165 0 PN1 T2 Ebv GN1 0.25 1
12 6000 24.9706746530668 9.97815415366622 14.9925204994005 0 PN1 T2 Ebv GN1 0.25 1
13 6000 26.6185014247125 10.7180653260459 15.9004360986665 0 PN1 T2 Ebv GN1 0.25 1
14 6000 28.5436952682701 11.5489286055178 16.9947666627523 0 PN1 T2 Ebv GN1 0.25 1
15 6000 30.4161319814732 12.3441479541959 18.0719840272773 0 PN1 T2 Ebv GN1 0.25 1
16 6000 32.1183293524556 13.1619483802714 18.9563809721842 0 PN1 T2 Ebv GN1 0.25 1
17 6000 33.7717841590748 13.9428691269113 19.8289150321635 0 PN1 T2 Ebv GN1 0.25 1
18 6000 35.2541167706771 14.6825519628286 20.5715648078484 0 PN1 T2 Ebv GN1 0.25 1
19 6000 36.6284555885374 15.2774290189668 21.3510265695706 0 PN1 T2 Ebv GN1 0.25 1
20 6000 37.7222332556035 15.669607803753 22.0526254518505 0 PN1 T2 Ebv GN1 0.25 1
0 525 0.355369536126528 0.326710196644257 0.0286593394822704 0 PN1 T2 Tbv GN1 0.25 1
1 6000 0.482445512394116 0.174435909702199 0.308009602691916 0 PN1 T2 Tbv GN1 0.25 1
2 6000 1.28402572302311 0.338600338724946 0.945425384298169 0 PN1 T2 Tbv GN1 0.25 1
3 6000 2.06708283754813 0.495318387993765 1.57176444955436 0 PN1 T2 Tbv GN1 0.25 1
4 6000 2.66190926056635 0.749437044989551 1.9124722155768 0 PN1 T2 Tbv GN1 0.25 1
5 6000 3.55087242422945 1.07397886420407 2.47689356002538 0 PN1 T2 Tbv GN1 0.25 1
6 6000 4.3197790780223 1.43896263554152 2.88081644248078 0 PN1 T2 Tbv GN1 0.25 1
7 6000 5.17932709431536 1.72179170914966 3.4575353851657 0 PN1 T2 Tbv GN1 0.25 1
8 6000 5.62537099147107 1.86378026868027 3.7615907227908 0 PN1 T2 Tbv GN1 0.25 1
9 6000 6.11221253624101 2.05679268214973 4.05541985409128 0 PN1 T2 Tbv GN1 0.25 1
10 6000 6.67345299276174 2.38746789059442 4.28598510216731 0 PN1 T2 Tbv GN1 0.25 1
11 6000 7.12620475739341 2.54776582095758 4.57843893643583 0 PN1 T2 Tbv GN1 0.25 1
12 6000 7.55771637714423 2.83847536216707 4.71924101497716 0 PN1 T2 Tbv GN1 0.25 1
13 6000 8.08985978066653 3.03983147242168 5.05002830824485 0 PN1 T2 Tbv GN1 0.25 1
14 6000 8.46766425030714 3.23121728206843 5.23644696823871 0 PN1 T2 Tbv GN1 0.25 1
15 6000 8.89402814538455 3.34546480293979 5.54856334244476 0 PN1 T2 Tbv GN1 0.25 1
16 6000 9.25665724338719 3.57152142008503 5.68513582330216 0 PN1 T2 Tbv GN1 0.25 1
17 6000 9.50892805037213 3.71215014652247 5.79677790384966 0 PN1 T2 Tbv GN1 0.25 1
18 6000 9.88022756883663 3.87474667077164 6.00548089806499 0 PN1 T2 Tbv GN1 0.25 1
19 6000 10.1981487790992 4.00308962601023 6.19505915308898 0 PN1 T2 Tbv GN1 0.25 1
20 6000 10.6934402946507 4.0969331185481 6.59650717610255 0 PN1 T2 Tbv GN1 0.25 1
0 5000 -0.00018663413102256 0 0 -0.00018663413102256 PN1 T2 Ebv PN1 0.25 1
0 5000 -0.0373138012932861 0 0 -0.0373138012932861 PN1 T2 Tbv PN1 0.25 1
0 525 0.0015904578420311 -0.0789153077522191 0.0805057655942503 0 PN1 I Ebv GN1 0.25 1
1 6000 0.803919323259297 -0.0352311959318565 0.839150519191153 0 PN1 I Ebv GN1 0.25 1
2 6000 3.21104385410238 0.739771474174071 2.47127237992831 0 PN1 I Ebv GN1 0.25 1
3 6000 5.26621389179203 1.51518581837352 3.75102807341852 0 PN1 I Ebv GN1 0.25 1
4 6000 7.54205980699974 2.56789991702022 4.97415988997953 0 PN1 I Ebv GN1 0.25 1
5 6000 9.86359063610986 3.42765585191685 6.43593478419302 0 PN1 I Ebv GN1 0.25 1
6 6000 12.032073237216 4.31765169807064 7.71442153914537 0 PN1 I Ebv GN1 0.25 1
7 6000 14.1903307419128 5.13108685299399 9.05924388891884 0 PN1 I Ebv GN1 0.25 1
8 6000 16.3063370105874 6.03529792839616 10.2710390821912 0 PN1 I Ebv GN1 0.25 1
9 6000 18.3958014667767 6.91254324147683 11.4832582252999 0 PN1 I Ebv GN1 0.25 1
10 6000 20.4366098570149 7.85642296789407 12.5801868891208 0 PN1 I Ebv GN1 0.25 1
11 6000 22.503112698704 8.73917172232668 13.7639409763773 0 PN1 I Ebv GN1 0.25 1
12 6000 24.4868375946095 9.65279823041231 14.8340393641972 0 PN1 I Ebv GN1 0.25 1
13 6000 26.3126522298523 10.4556692328411 15.8569829970112 0 PN1 I Ebv GN1 0.25 1
14 6000 28.1832035050492 11.325850441111 16.8573530639382 0 PN1 I Ebv GN1 0.25 1
15 6000 30.0022742457249 12.1545423757491 17.8477318699757 0 PN1 I Ebv GN1 0.25 1
16 6000 31.6265528973832 12.9182336560769 18.7083192413063 0 PN1 I Ebv GN1 0.25 1
17 6000 33.1976765518063 13.6286977284782 19.5689788233281 0 PN1 I Ebv GN1 0.25 1
18 6000 34.6421342091877 14.2458745638556 20.3962596453322 0 PN1 I Ebv GN1 0.25 1
19 6000 35.9027799789721 14.8120436291347 21.0907363498374 0 PN1 I Ebv GN1 0.25 1
20 6000 36.9602057286374 15.2892851103764 21.670920618261 0 PN1 I Ebv GN1 0.25 1
0 525 0.372431141750896 0.337534442776205 0.0348966989746916 0 PN1 I Tbv GN1 0.25 1
1 6000 0.549890269434072 0.174773590080376 0.375116679353695 0 PN1 I Tbv GN1 0.25 1
2 6000 1.46239762587645 0.393036604759045 1.06936102111741 0 PN1 I Tbv GN1 0.25 1
3 6000 2.26844585627063 0.657239672899179 1.61120618337145 0 PN1 I Tbv GN1 0.25 1
4 6000 3.07181269649045 1.0696177635077 2.00219493298275 0 PN1 I Tbv GN1 0.25 1
5 6000 3.89191481179729 1.43575336287313 2.45616144892416 0 PN1 I Tbv GN1 0.25 1
6 6000 4.53206946149463 1.68541431110862 2.84665515038601 0 PN1 I Tbv GN1 0.25 1
7 6000 5.24740784930917 1.91999209189438 3.32741575741479 0 PN1 I Tbv GN1 0.25 1
8 6000 5.77462664450213 2.18194539839896 3.59268124610317 0 PN1 I Tbv GN1 0.25 1
9 6000 6.28927336891095 2.4182260929216 3.87104727598935 0 PN1 I Tbv GN1 0.25 1
10 6000 6.79274301722878 2.71687486224402 4.07586815498477 0 PN1 I Tbv GN1 0.25 1
11 6000 7.26152914036686 2.9013507251559 4.36017841521095 0 PN1 I Tbv GN1 0.25 1
12 6000 7.60415914433197 3.12665043526366 4.47750870906831 0 PN1 I Tbv GN1 0.25 1
13 6000 8.12736827168189 3.36221046802691 4.76515780365498 0 PN1 I Tbv GN1 0.25 1
14 6000 8.48738827114957 3.57607061210967 4.9113176590399 0 PN1 I Tbv GN1 0.25 1
15 6000 8.89820687883953 3.75252876963922 5.14567810920031 0 PN1 I Tbv GN1 0.25 1
16 6000 9.19418331782533 3.93008853387325 5.26409478395208 0 PN1 I Tbv GN1 0.25 1
17 6000 9.50436234177681 4.05792965726882 5.44643268450799 0 PN1 I Tbv GN1 0.25 1
18 6000 9.89622902764672 4.20513632965726 5.69109269798947 0 PN1 I Tbv GN1 0.25 1
19 6000 10.2035910870769 4.31415961175773 5.88943147531915 0 PN1 I Tbv GN1 0.25 1
20 6000 10.6300424137989 4.46607618317591 6.16396623062295 0 PN1 I Tbv GN1 0.25 1
0 5000 -0.000166998073413285 0 0 -0.000166998073413285 PN1 I Ebv PN1 0.25 1
0 5000 -0.0391052698838449 0 0 -0.0391052698838449 PN1 I Tbv PN1 0.25 1
0 525 0.00334744024141728 -0.0795843041757333 0.0829317444171505 0 PN1 T1 Ebv GN1 0.25 2
1 6000 0.828715992442505 -0.0563680274356672 0.885084019878172 0 PN1 T1 Ebv GN1 0.25 2
2 6000 3.29783151445132 0.97469157369728 2.32313994075404 0 PN1 T1 Ebv GN1 0.25 2
3 6000 5.3867797144188 1.8280846298386 3.5586950845802 0 PN1 T1 Ebv GN1 0.25 2
4 6000 7.54655067761479 2.77075299167337 4.77579768594142 0 PN1 T1 Ebv GN1 0.25 2
5 6000 9.33463482843466 3.87853840914828 5.45609641928638 0 PN1 T1 Ebv GN1 0.25 2
