P_G,ReduceControls,1,2,3,4,5,6,7,8,9,10,Reference,Population,YearsToUpdate
1:1,10,7873,15746,23620,31493,39366,47239,55112,62985,70859,78732,yes,Female,
2:1,1,623,1246,1869,2492,3115,3737,4360,4983,5606,6229,yes,Female,
2:1,2,1403,2805,4208,5610,7013,8415,9818,11220,12623,14025,yes,Female,
2:1,3,2356,4713,7069,9425,11781,14138,16494,18850,21207,23563,yes,Female,
2:1,6,6462,12924,19386,25848,32310,38772,45234,51696,58158,64620,yes,Female,
2:1,9,12933,25865,38798,51731,64663,77596,90529,103461,116394,129327,yes,Female,
2:1,10,15746,31493,47239,62985,78732,94478,110225,125971,141717,157464,yes,Female,
1:2,1,156,311,467,623,779,934,1090,1246,1402,1557,yes,Female,
1:2,2,351,701,1052,1403,1753,2104,2454,2805,3156,3506,yes,Female,
1:2,3,589,1178,1767,2356,2945,3534,4124,4713,5302,5891,yes,Female,
1:2,6,1615,3231,4846,6462,8077,9693,11308,12924,14539,16155,yes,Female,
1:2,9,3233,6466,9700,12933,16166,19399,22632,25865,29099,32332,yes,Female,
1:2,10,3937,7873,11810,15746,19683,23620,27556,31493,35429,39366,yes,Female,
1:1,1,356,712,1068,1424,1780,2136,2492,2848,3204,3559,no,Female,
1:1,2,801,1603,2404,3206,4007,4809,5510,6211,6912,7614,no,Female,
1:1,3,1178,2356,3534,4713,5891,7069,8247,9425,10603,11781,no,Female,
1:1,6,3231,6462,9693,12924,16155,19386,22617,25848,29079,32310,no,Female,
1:1,9,6466,12933,19399,25865,32332,38798,45264,51731,58197,64663,no,Female,
1:1,10,7873,15746,23620,31493,39366,47239,55112,62985,70859,78732,no,Female,
2:1,1,712,1424,2136,2848,3559,4271,4983,5606,6229,6852,no,Female,
2:1,2,1603,3206,4809,6211,7614,9016,10419,11821,13224,14626,no,Female,
2:1,3,2693,5049,7406,9762,12118,14474,16831,19187,21543,23900,no,Female,
2:1,6,6462,12924,19386,25848,32310,38772,45234,51696,58158,64620,no,Female,
2:1,9,12933,25865,38798,51731,64663,77596,90529,103461,116394,129327,no,Female,
2:1,10,15746,31493,47239,62985,78732,94478,110225,125971,141717,157464,no,Female,
1:2,1,178,356,534,712,890,1046,1246,1424,1602,1780,no,Female,
1:2,2,401,801,1202,1603,1954,2404,2805,3206,3606,4007,no,Female,
1:2,3,673,1346,2020,2693,3366,4039,4628,5218,5807,6396,no,Female,
1:2,6,1846,3693,5308,6924,8539,10155,11770,13386,15001,16617,no,Female,
1:2,9,3695,6928,10161,13395,16628,19861,23094,26327,29560,32794,no,Female,
1:2,10,4499,8436,12372,16309,20245,24182,28119,32055,35992,39928,no,Female,
